# N 	NAME 	S[cm] 	BetaX1 	AlfaX1 	BetaY1 	AlfaY1 	Teta1/(2*PI) 	BetaX2 	AlfaX2 	BetaY2 	AlfaY2 	Teta2/(2*PI) 	U      	DspX 	DspXp 	DspY 	DspYp 	NuX 	NuY 	-M56[cm]
 808	qTQFF3F24	37169.62	9270.7	1.81115	121.93	-0.0353505	0.109988	157.165	0.0122912	3001.37	-0.699459	0.276041	0.0112218	111.488	-0.0056666	14.7042	0.00663552	1.18511	1.11858	-85.1149
 871	qTQDF4F25	40146.50	2946.77	-0.588038	384.647	0.0805668	0.18759	113.466	-0.0328209	9954.61	1.82686	0.311734	0.0135349	156.988	0.0802713	32.5662	-0.0055238	1.28771	1.20221	-89.925
 934	qTQFF3F26	43118.30	8953.68	1.72689	71.8813	0.00289443	0.228588	345.949	0.076788	3402.45	-0.671507	0.369115	0.0163776	416.086	-0.0477793	18.6965	0.00233328	1.37678	1.29257	-103.699
 998	qTQDF4F27	46092.64	2983.1	-0.637284	49.4494	0.0204765	0.272434	66.589	0.00474615	9720.72	1.93973	0.42165	0.00849075	348.375	0.108144	11.7495	-0.00645581	1.48109	1.37203	-120.87
1062	qTQF28	49066.98	9385.69	1.78168	20.5647	-0.0178551	0.0432496	40.5236	0.0176279	2915.14	-0.544415	0.444263	0.00923666	670.347	-0.120314	-5.61794	-0.00663977	1.56792	1.47289	-142.145
1125	qTQDF4F29	52043.86	3117.51	-0.629428	300.076	0.0286385	0.0858076	31.101	-0.0259206	8685.93	1.62567	0.202284	0.0101422	390.903	0.0554245	-15.541	0.00288773	1.66684	1.56485	-161.951
1189	qTQF32	55015.66	9277.94	1.75411	190.09	-0.0490422	0.146469	355.545	0.0391197	3151.12	-0.711111	0.258912	0.0124623	563.554	-0.130209	-5.32343	0.00210019	1.75187	1.66736	-176.403
1260	qTQF33	58068.74	3218.22	-0.702417	421.336	0.109854	0.248738	192.537	-0.040693	9762.35	1.92614	0.338504	0.00290205	245.09	-0.00319952	-15.5158	0.00262088	1.85630	1.75048	-186.174
1317	qTQFF3F34	60964.34	9609.18	1.87324	30.2651	0.0162833	0.306542	421.71	0.109843	3083.76	-0.565076	0.426892	0.00566066	266.56	-0.0771761	-7.35933	0.000473966	1.93652	1.84538	-188.699
1326	qTQF34	61043.08	9317.09	1.83638	27.7617	0.0155101	0.305412	404.59	0.107584	3175.38	-0.598474	0.430703	0.00566066	260.483	-0.0771761	-7.32201	0.000473966	1.93783	1.84936	-188.699
1383	qTQDF4F35	63941.22	2997.82	-0.570428	20.6492	-0.00663844	0.0291799	22.6181	0.0159693	8828.74	1.70578	0.483816	0.00619466	95.5563	-0.00816052	-4.66613	0.00291899	2.03675	1.93402	-188.828
1446	qTQFF3F36	66913.02	8839.71	1.7233	116.75	-0.0630422	0.050882	40.2355	-0.00869183	3016.45	-0.68073	0.184485	0.00659082	114.426	-0.0204263	4.72455	0.00467135	2.12647	2.03885	-188.824
1510	qTQDF4F37	69887.36	2906.62	-0.632042	557.87	0.0973463	0.152438	110.548	-0.0508538	9829.35	1.81052	0.243479	0.0043996	112.81	0.0509097	14.0324	-0.00175453	2.23378	2.12366	-191.138
1574	qTQFF3F38	72861.70	9392.71	1.76744	155.196	-0.00913439	0.229199	535.331	0.0973854	3380.99	-0.685042	0.325429	0.00796078	294.041	-0.0297814	10.3637	0.00261752	2.32214	2.21601	-200.924
1636	qTQDF4F39	75838.58	3157.49	-0.639787	189.605	0.0633981	0.302771	126.661	0.000341046	9746.8	1.93721	0.385607	0.0107996	275.837	0.0995381	18.0672	-0.00358453	2.42027	2.29549	-214.436
1700	qTQFF3F42	78810.38	9333.17	1.85512	7.71821	-0.00524723	0.136744	108.796	0.0434105	2936.01	-0.549149	0.44145	0.0122236	579.219	-0.0935425	9.92912	0.00137485	2.50432	2.39535	-233.938
1763	qTQDF4F43	81784.72	2936.13	-0.579683	136.67	0.00673029	0.0738112	9.30894	-0.00710908	8708.33	1.63671	0.265535	0.0102419	383.592	0.0795112	-3.98198	-0.00301385	2.60684	2.48678	-253.591
1826	qTQFF3F44	84759.06	8920.98	1.71583	130.004	-0.0451539	0.121247	177.125	0.0127506	3132.16	-0.728923	0.239871	0.0117188	623.493	-0.13334	-11.5686	-0.00559882	2.69678	2.58969	-270.909
1887	qTQDF4F45	87735.94	2994.3	-0.641129	484.44	0.094243	0.202534	134.154	-0.0398513	10165	1.90262	0.276822	0.014388	299.292	0.0110414	-24.1316	0.00503715	2.80065	2.67039	-284.231
1950	qTQFF3F46	90707.74	9372.7	1.80321	107.727	-0.000402791	0.251117	419.444	0.0919331	3317.23	-0.620219	0.337743	0.0177718	355.827	-0.0982129	-8.40449	0.00253955	2.88660	2.76085	-289.897
2012	qTQDF4F47	93682.08	3039.53	-0.607453	98.633	0.0377844	0.320947	75.2114	0.00746518	9304.29	1.85348	0.399452	0.00787823	124.631	-0.0175012	-11.2844	0.00338716	2.98715	2.84346	-291.981
2370	qTQFA4A13	112146.17	9447.73	1.83519	103.794	0.0102486	0.303985	404.303	0.108589	2931.61	-0.549607	0.335928	0.0255996	230.203	-0.0295494	15.7543	0.00226581	3.48098	3.34974	-308.937
2432	qTQDD1A14	115120.51	2988.5	-0.584067	76.0067	0.0291269	0.322645	33.5911	0.0115876	8757.71	1.66579	0.355364	0.0163258	207.41	0.0760346	14.2417	-0.00564308	3.58105	3.44037	-320.518
2494	qTQFA4A15	118097.39	8895.4	1.70573	40.8145	-0.0309386	0.124181	64.7181	-0.000424374	3065.17	-0.686944	0.200321	0.0173895	450.955	-0.0651385	-1.20905	-0.00479707	3.66963	3.54369	-332.903
